# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       4    -0.61661    -0.30738     0.00062    2.529277149    0.954531599   -1.574745550
     1       4     0.46138    -0.15338    -0.15338    4.219233124    2.745849135   -1.473383989
     1       4     0.30738     0.00062    -0.30738    5.123418540    3.725780354   -1.397638186
     1       4     0.15338     0.15462    -0.15338    5.702310520    4.353843814   -1.348466706
     1       4    -0.00062     0.30862    -0.30738    5.118265356    3.721731564   -1.396533792
     1       4     0.46138    -0.15338     0.15462    4.222320174    2.747678974   -1.474641200
     1       4     0.30738     0.00062     0.00062    4.542654913    3.116827344   -1.425827569
     1       4     0.30738     0.30862     0.00062    5.118265185    3.721849475   -1.396415710
     1       4     0.15338     0.46261    -0.15338    4.215688013    2.743877682   -1.471810331
     1       4    -0.00062     0.61661    -0.30738    2.529277318    0.954403259   -1.574874059
     1       4     0.46138     0.15462     0.15462    4.225503089    2.749711473   -1.475791616
     1       4    -0.15462    -0.15338    -0.46138    4.222320076    2.747650815   -1.474669261
     1       4     0.30738     0.61661     0.00062    2.529277393    0.954601054   -1.574676338
     1       4     0.15338    -0.46138    -0.15338    4.219232656    2.744596820   -1.474635836
     1       4    -0.00062    -0.30738    -0.30738    5.123419070    3.725077987   -1.398341083
     1       4    -0.00062     0.00062    -0.30738    4.542655017    3.116383826   -1.426271191
     1       4    -0.15462     0.15462    -0.46138    4.225503175    2.749408585   -1.476094590
     1       4     0.30738    -0.30738     0.00062    5.123419225    3.724998888   -1.398420337
     1       4     0.15338    -0.15338    -0.15338    5.700523728    4.351032335   -1.349491392
     1       5     0.00000     0.00000     0.00000    9.026314241    8.897831538   -0.128482703
     1       5    -0.15400     0.15400    -0.15400    8.536386893    8.297969574   -0.238417319
     1       5    -0.30800     0.30800    -0.30800    8.045669244    7.760185490   -0.285483754
     1       5     0.15400    -0.15400     0.15400    8.536386891    8.297011173   -0.239375718
     1       5     0.15400     0.15400     0.15400    8.536387195    8.298171359   -0.238215836
     1       5     0.00000     0.30800     0.00000    7.560505672    7.219631548   -0.340874124
     1       5    -0.15400     0.46200    -0.15400    7.947965116    7.628101253   -0.319863863
     1       5     0.30800     0.00000     0.30800    8.908972389    8.704716481   -0.204255908
     1       5     0.30800     0.30800     0.30800    8.045669427    7.760242909   -0.285426518
     1       5     0.15400     0.46200     0.15400    7.947965003    7.627936199   -0.320028804
     1       5     0.00000     0.61600     0.00000    7.119474904    6.723375584   -0.396099320
     1       5    -0.15400    -0.46200    -0.15400    7.947965003    7.627489123   -0.320475880
     1       5    -0.15400    -0.15400    -0.15400    8.536387188    8.296895654   -0.239491534
     1       5    -0.30800     0.00000    -0.30800    8.908972388    8.704461851   -0.204510537
     1       5     0.15400    -0.46200     0.15400    7.947965118    7.627283838   -0.320681280
     1       5     0.00000    -0.30800     0.00000    7.560505669    7.218254902   -0.342250767
     1       5    -0.15400    -0.15400     0.15400    8.536386238    8.297653391   -0.238732847
     1       5    -0.30800     0.00000     0.00000    7.560505611    7.218900414   -0.341605197
     1       5    -0.46200     0.15400    -0.15400    7.947963147    7.627206420   -0.320756727
     1       5     0.00000    -0.30800     0.30800    8.908970345    8.704261748   -0.204708597
     1       5     0.00000     0.00000     0.30800    7.560505634    7.219051760   -0.341453874
     1       5    -0.15400     0.15400     0.15400    8.536387575    8.296955926   -0.239431649
     1       5    -0.30800     0.30800     0.00000    8.908971910    8.703509162   -0.205462748
     1       5     0.15400    -0.15400     0.46200    7.947964647    7.626586925   -0.321377722
     1       5     0.15400     0.15400     0.46200    7.947964060    7.627265617   -0.320698443
